id,levelType,level,group,round,name,type1,type2,heldItem,Move1,Move2,Move3,Move4,nature,ev,baseHp,baseAtk,baseDef,baseSpAtk,baseSpDef,baseSpeed,evHp,evAtk,evDef,evSpAtk,evSpDef,evSpeed
1,レベル50,50,1,1,フシギダネ,くさ,どく,ひかりのこな,マジカルリーフ,どくどく,やどりぎのタネ,あまいかおり,ひかえめ,CD,45,49,49,65,65,45,0,0,0,252,252,0
2,レベル50,50,1,1,ヒトカゲ,ほのお,,ピントレンズ,ほのおのキバ,メタルクロー,えんまく,こわいかお,いじっぱり,AS,39,52,43,60,50,65,0,252,0,0,0,252
3,レベル50,50,1,1,ゼニガメ,みず,,うしおのおこう,アクアジェット,かみつく,からにこもる,まもる,いじっぱり,HA,44,48,65,50,64,43,252,252,0,0,0,0
4,レベル50,50,1,1,チコリータ,くさ,,のんきのおこう,タネマシンガン,ひみつのちから,なきごえ,ひかりのかべ,いじっぱり,HA,45,49,65,49,65,45,252,252,0,0,0,0
5,レベル50,50,1,1,ヒノアラシ,ほのお,,せんせいのツメ,かえんぐるま,にどげり,スピードスター,えんまく,いじっぱり,AD,39,52,43,60,50,65,0,252,0,0,252,0
6,レベル50,50,1,1,ワニノコ,みず,,するどいツメ,ダイビング,きりさく,いやなおと,こわいかお,いじっぱり,AB,50,65,64,44,48,43,0,252,252,0,0,0
7,レベル50,50,1,1,キモリ,くさ,,きせきのタネ,メガドレイン,スピードスター,フラッシュ,かげぶんしん,おくびょう,CS,40,45,35,65,55,70,0,0,0,252,0,252
8,レベル50,50,1,1,アチャモ,ほのお,,もくたん,ひのこ,オウムがえし,どろかけ,かげぶんしん,がんばりや,AC,45,60,40,70,50,45,0,252,0,252,0,0
9,レベル50,50,1,1,ミズゴロウ,みず,,しんぴのしずく,みずのはどう,こごえるかぜ,どろかけ,なきごえ,ひかえめ,HC,50,70,50,50,50,40,252,0,0,252,0,0
10,レベル50,50,1,1,ナエトル,くさ,,オッカのみ,はっぱカッター,かみつく,くすぐる,からにこもる,いじっぱり,HA,55,68,64,45,55,31,252,252,0,0,0,0
